Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P59117	RPOD_LEPIN	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD LA_2232	Leptospira interrogans serogroup Icterohaemorrhagiae serovar Lai (strain 56601)	585
P17531	RPOD_MYXXA	reviewed	RNA polymerase sigma factor RpoD (Sigma-80)	rpoD asgC sigA	Myxococcus xanthus	708
P52325	RPOD_NEIGO	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD	Neisseria gonorrhoeae	642
P26480	RPOD_PSEAE	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD rpoDA PA0576	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	617
P52326	RPOD_PSEFL	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD	Pseudomonas fluorescens	615
P52327	RPOD_PSEPU	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD	Pseudomonas putida (Arthrobacter siderocapsulatus)	614
Q2K619	RPOD_RHIEC	reviewed	RNA polymerase sigma factor RpoD (Sigma-70) (Sigma-A)	rpoD sigA RHE_CH02950	Rhizobium etli (strain CFN 42 / ATCC 51251)	685
Q59753	RPOD_RHIME	reviewed	RNA polymerase sigma factor RpoD (Sigma-A) (Major vegetative sigma factor)	rpoD sigA R02314 SMc01563	Rhizobium meliloti (strain 1021) (Ensifer meliloti) (Sinorhizobium meliloti)	684
P0CZ15	RPOD_RHOCA	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD	Rhodobacter capsulatus (Rhodopseudomonas capsulata)	674
D5AQI9	RPOD_RHOCB	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD RCAP_rcc03054	Rhodobacter capsulatus (strain ATCC BAA-309 / NBRC 16581 / SB1003)	674
Q1RKH7	RPOD_RICBR	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD RBE_0056	Rickettsia bellii (strain RML369-C)	641
Q92FZ8	RPOD_RICCN	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD RC1329	Rickettsia conorii (strain ATCC VR-613 / Malish 7)	634
Q4UJT1	RPOD_RICFE	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD RF_1357	Rickettsia felis (strain ATCC VR-1525 / URRWXCal2) (Rickettsia azadi)	635
P33451	RPOD_RICPR	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD RP858	Rickettsia prowazekii (strain Madrid E)	635
Q68VQ5	RPOD_RICTY	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD RT0847	Rickettsia typhi (strain ATCC VR-144 / Wilmington)	635
P0A2E4	RPOD_SALTI	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD STY3390 t3131	Salmonella typhi	615
P0A2E3	RPOD_SALTY	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD STM3211	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	615
P43344	RPOD_SERMA	reviewed	RNA polymerase sigma factor RpoD (Sigma-70) (Fragment)	rpoD	Serratia marcescens	215
O24744	RPOD_SHEVD	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD SVI_0878	Shewanella violacea (strain JCM 10179 / CIP 106290 / LMG 19151 / DSS12)	614
O83506	RPOD_TREPA	reviewed	RNA polymerase sigma factor RpoD (Major vegetative sigma factor) (Sigma-70)	rpoD TP_0493	Treponema pallidum (strain Nichols)	611
Q8PG33	RPOD_XANAC	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD XAC3788	Xanthomonas axonopodis pv. citri (strain 306)	625
Q8P4H2	RPOD_XANCP	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD XCC3736	Xanthomonas campestris pv. campestris (strain ATCC 33913 / NCPPB 528 / LMG 568)	624
Q9PDM9	RPOD_XYLFA	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD XF_1350	Xylella fastidiosa (strain 9a5c)	618
Q87DT7	RPOD_XYLFT	reviewed	RNA polymerase sigma factor RpoD (Sigma-70)	rpoD PD_0593	Xylella fastidiosa (strain Temecula1 / ATCC 700964)	618
P0AGB8	RPOE_ECO57	reviewed	RNA polymerase sigma-E factor (Sigma-24)	rpoE Z3855 ECs3439	Escherichia coli O157:H7	191
P0AGB7	RPOE_ECOL6	reviewed	RNA polymerase sigma-E factor (Sigma-24)	rpoE c3097	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	191
P0AGB6	RPOE_ECOLI	reviewed	RNA polymerase sigma-E factor (Sigma-24)	rpoE sigE b2573 JW2557	Escherichia coli (strain K12)	191
P44790	RPOE_HAEIN	reviewed	RNA polymerase sigma-E factor (Sigma-24)	rpoE HI_0628	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	189
P66808	RPOE_MYCBO	reviewed	RNA polymerase sigma-E factor (Sigma-24)	rpoE sigH Mb3250c	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	216
P66807	RPOE_MYCTU	reviewed	RNA polymerase sigma-E factor (Sigma-24)	rpoE sigH Rv3223c MT3320 MTCY07D11.03	Mycobacterium tuberculosis	216
Q3IYV6	RPOE_RHOS4	reviewed	ECF RNA polymerase sigma factor RpoE (Alternative RNA polymerase sigma factor RpoE) (RNA polymerase sigma-E factor) (Sigma-24)	rpoE RHOS4_27100 RSP_1092	Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158)	181
P0A2F1	RPOE_SALTI	reviewed	RNA polymerase sigma-E factor (Sigma-24)	rpoE sigE STY2833 t0270	Salmonella typhi	191
P0A2F0	RPOE_SALTY	reviewed	RNA polymerase sigma-E factor (Sigma-24)	rpoE sigE STM2640	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	191
P0AGB9	RPOE_SHIFL	reviewed	RNA polymerase sigma-E factor (Sigma-24)	rpoE SF2635 S2808	Shigella flexneri	191
O68887	RPOE_STRAT	reviewed	RNA polymerase sigma-E factor	sigE	Streptomyces antibioticus	180
Q82EA9	RPOE_STRAW	reviewed	RNA polymerase sigma-E factor	sigE SAV_4706	Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NCIMB 12804 / NRRL 8165 / MA-4680)	179
P38133	RPOE_STRCO	reviewed	RNA polymerase sigma-E factor	sigE SCO3356 SCE94.07	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	177
P37970	RPOF_STRAU	reviewed	RNA polymerase sigma-F factor	sigF rpoX	Streptomyces aureofaciens	297
P37971	RPOF_STRCO	reviewed	RNA polymerase sigma-F factor	sigF rpoX SCO4035 2SCD60.01c	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	287
O05385	RPOH_BUCAI	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH BU025	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain APS) (Acyrthosiphon pisum symbiotic bacterium)	284
Q8KA76	RPOH_BUCAP	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH BUsg_026	Buchnera aphidicola subsp. Schizaphis graminum (strain Sg)	285
Q89B27	RPOH_BUCBP	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH bbp_027	Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp)	287
B8H3C3	RPOH_CAUCN	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH CCNA_03195	Caulobacter crescentus (strain NA1000 / CB15N)	295
P0CAW9	RPOH_CAUCR	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH CC_3098	Caulobacter crescentus (strain ATCC 19089 / CB15)	295
P11539	RPOH_CITFR	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH htpR	Citrobacter freundii	284
P0AGB5	RPOH_ECO57	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH Z4835 ECs4310	Escherichia coli O157:H7	284
P0AGB4	RPOH_ECOL6	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH c4254	Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC)	284
P0AGB3	RPOH_ECOLI	reviewed	RNA polymerase sigma factor RpoH (Heat shock regulatory protein F33.4) (RNA polymerase sigma-32 factor)	rpoH fam hin htpR b3461 JW3426	Escherichia coli (strain K12)	284
P50508	RPOH_ENTCL	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH	Enterobacter cloacae	285
P44404	RPOH_HAEIN	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH HI_0269	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	281
P50509	RPOH_PROMI	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH	Proteus mirabilis	284
P42378	RPOH_PSEAE	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH PA0376	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	284
P50507	RPOH_RHIRD	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH	Rhizobium radiobacter (Agrobacterium tumefaciens) (Agrobacterium radiobacter)	300
P50510	RPOH_SERMA	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH	Serratia marcescens	285
P50511	RPOH_VIBCH	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH VC_0150	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	286
Q8DD54	RPOH_VIBVU	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH VV1_1158	Vibrio vulnificus (strain CMCP6)	285
P50512	RPOH_ZYMMO	reviewed	RNA polymerase sigma factor RpoH (RNA polymerase sigma-32 factor)	rpoH ZMO0749	Zymomonas mobilis subsp. mobilis (strain ATCC 31821 / ZM4 / CP4)	302
Q9KI19	RPOS_COXBU	reviewed	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS CBU_1669	Coxiella burnetii (strain RSA 493 / Nine Mile phase I)	352
P13445	RPOS_ECOLI	reviewed	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS appR katF nur otsX sigS b2741 JW5437	Escherichia coli (strain K12)	330
P45684	RPOS_PSEAE	reviewed	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS PA3622	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	334
P0A2E7	RPOS_SALDU	reviewed	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS katF	Salmonella dublin	330
P0A2E6	RPOS_SALTI	reviewed	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS katF STY3049 t2825	Salmonella typhi	330
P0A2E5	RPOS_SALTY	reviewed	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS katF STM2924	Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720)	330
P35540	RPOS_SHIFL	reviewed	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS SF2764 S2957	Shigella flexneri	330
O51804	RPOS_VIBCH	reviewed	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS VC_0534	Vibrio cholerae serotype O1 (strain ATCC 39315 / El Tor Inaba N16961)	335
P47765	RPOS_YEREN	reviewed	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS	Yersinia enterocolitica	331
Q9K5J6	RPSB_BACAN	reviewed	RNA polymerase sigma-B factor	sigB BA_0992 GBAA_0992 BAS0928	Bacillus anthracis	257
P06574	RPSB_BACSU	reviewed	RNA polymerase sigma-B factor (General stress protein 84) (GSP84) (Sigma-37)	sigB rpoF BSU04730	Bacillus subtilis (strain 168)	262
P33118	RPSB_CORDI	reviewed	RNA polymerase sigma factor SigB	sigB DIP1413	Corynebacterium diphtheriae (strain ATCC 700971 / NCTC 13129 / Biotype gravis)	329
P19433	RPSB_MYXXA	reviewed	RNA polymerase sigma-B factor	sigB	Myxococcus xanthus	246
Q03065	RPSB_NOSS1	reviewed	RNA polymerase sigma-B factor	sigB all7615	Nostoc sp. (strain PCC 7120 / UTEX 2576)	332
Q01624	RPSB_STIAD	reviewed	RNA polymerase sigma-B factor	sigB STAUR_3825 STIAU_2459	Stigmatella aurantiaca (strain DW4/3-1)	296
P66810	RPSC_MYCBO	reviewed	Probable RNA polymerase sigma-C factor	sigC Mb2095	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	185
P66809	RPSC_MYCTU	reviewed	ECF RNA polymerase sigma factor SigC (ECF sigma factor SigC) (Alternative RNA polymerase sigma factor SigC) (RNA polymerase sigma-C factor) (Sigma-C factor)	sigC Rv2069 MT2129 MTCY49.08	Mycobacterium tuberculosis	185
Q07083	RPSC_MYXXA	reviewed	RNA polymerase sigma-C factor	sigC	Myxococcus xanthus	295
Q03066	RPSC_NOSS1	reviewed	RNA polymerase sigma-C factor	sigC all1692	Nostoc sp. (strain PCC 7120 / UTEX 2576)	416
Q59996	RPSC_SYNY3	reviewed	Probable RNA polymerase sigma-C factor	sigC sll0184	Synechocystis sp. (strain PCC 6803 / Kazusa)	404
P10726	RPSD_BACSU	reviewed	RNA polymerase sigma-D factor (Sigma-28)	sigD flaB BSU16470	Bacillus subtilis (strain 168)	254
P66812	RPSD_MYCBO	reviewed	ECF RNA polymerase sigma factor SigD (ECF sigma factor SigD) (Alternative RNA polymerase sigma factor SigD) (RNA polymerase sigma-D factor) (Sigma-D factor)	sigD Mb3448c	Mycobacterium bovis (strain ATCC BAA-935 / AF2122/97)	212
P66811	RPSD_MYCTU	reviewed	ECF RNA polymerase sigma factor SigD (ECF sigma factor SigD) (Alternative RNA polymerase sigma factor SigD) (RNA polymerase sigma-D factor) (Sigma-D factor)	sigD Rv3414c MT3523 MTCY78.15	Mycobacterium tuberculosis	212
P06222	RPSE_BACSU	reviewed	RNA polymerase sigma-E factor (P31) (Sigma-29) (Stage II sporulation protein GB)	sigE spoIIGB BSU15320	Bacillus subtilis (strain 168)	239
P33657	RPSE_CLOAB	reviewed	RNA polymerase sigma-E factor	sigE CA_C1695	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)	235
P26764	RPSF_BACLI	reviewed	RNA polymerase sigma-F factor (Sporulation sigma factor) (Stage II sporulation protein AC)	sigF spoIIAC	Bacillus licheniformis	255
P35145	RPSF_BACME	reviewed	RNA polymerase sigma-F factor (Sporulation sigma factor) (Stage II sporulation protein AC)	sigF spoIIAC	Bacillus megaterium	253
P07860	RPSF_BACSU	reviewed	RNA polymerase sigma-F factor (Sporulation sigma factor) (Stage II sporulation protein AC)	sigF spoIIAC BSU23450	Bacillus subtilis (strain 168)	255
P19940	RPSG_BACSU	reviewed	RNA polymerase sigma-G factor (Stage III sporulation protein G)	sigG spoIIIG BSU15330	Bacillus subtilis (strain 168)	260
P33658	RPSG_CLOAB	reviewed	RNA polymerase sigma-G factor	sigG CA_C1696	Clostridium acetobutylicum (strain ATCC 824 / DSM 792 / JCM 1419 / LMG 5710 / VKM B-1787)	257
P02964	RPSH_BACLI	reviewed	RNA polymerase sigma-H factor (Sigma-30)	sigH spo0H	Bacillus licheniformis	223
P17869	RPSH_BACSU	reviewed	RNA polymerase sigma-H factor (Sigma-30) (Stage 0 sporulation protein H)	sigH spo0H BSU00980	Bacillus subtilis (strain 168)	218
Q06198	RPSH_PSEAE	reviewed	RNA polymerase sigma-H factor (Sigma-30)	algU algT PA0762	Pseudomonas aeruginosa (strain ATCC 15692 / PAO1 / 1C / PRS 101 / LMG 12228)	193
P12254	RPSK_BACSU	reviewed	RNA polymerase sigma-K factor (Sigma-27) (Stage IV sporulation protein CB)	sigK cisB spoIVCB BSU25760; sigK spoIIIC BSU26390	Bacillus subtilis (strain 168)	294
P17211	RPSW_STRCO	reviewed	RNA polymerase sigma factor WhiG	whiG SCO5621 SC2E1.38	Streptomyces coelicolor (strain ATCC BAA-471 / A3(2) / M145)	280
P26768	RPSX_BACTK	reviewed	Putative RNA polymerase sigma-G factor (ORF3) (Fragment)		Bacillus thuringiensis subsp. kurstaki	125
